#time   msd   diff_coeff 
2365 2104.57 0.444941
2370 2107.83 0.44469
2375 2111.11 0.444444
2380 2114.53 0.444229
2385 2117.95 0.444015
2390 2121.66 0.443862
2395 2125.43 0.443722
2400 2129.27 0.443598
2405 2132.87 0.443424
2410 2136.38 0.443232
2415 2139.74 0.44301
2420 2143.28 0.442826
2425 2147.07 0.442695
2430 2150.73 0.442537
2435 2154.33 0.442368
2440 2157.85 0.442182
2445 2161.45 0.442014
2450 2164.88 0.441812
2455 2168.14 0.441576
2460 2171.43 0.441348
2465 2174.84 0.441144
2470 2178.34 0.44096
2475 2181.76 0.44076
2480 2184.92 0.440508
2485 2188.12 0.440266
2490 2191.28 0.440016
2495 2194.34 0.439747
2500 2197.43 0.439486
2505 2200.53 0.439228
2510 2203.5 0.438944
2515 2206.47 0.438662
2520 2209.35 0.438363
2525 2212.15 0.43805
2530 2214.8 0.437708
2535 2217.47 0.437371
2540 2219.92 0.436992
2545 2222.3 0.436601
2550 2224.67 0.43621
2555 2226.98 0.435808
2560 2229.26 0.435402
2565 2231.67 0.435023
2570 2233.96 0.434623
2575 2236.28 0.434229
2580 2238.61 0.433839
2585 2240.99 0.43346
2590 2243.43 0.433095
2595 2245.73 0.432703
2600 2247.74 0.432258
2605 2249.59 0.431783
2610 2251.13 0.431251
2615 2252.66 0.430719
2620 2253.84 0.430122
2625 2254.6 0.429448
2630 2255.39 0.428781
2635 2256.27 0.428135
2640 2257.34 0.427527
2645 2258.4 0.426919
2650 2259.39 0.4263
2655 2260.51 0.425708
2660 2261.8 0.42515
2665 2262.95 0.424568
2670 2264.22 0.424011
2675 2265.59 0.423475
2680 2266.92 0.422933
2685 2268.18 0.42238
2690 2269.28 0.421799
2695 2270.05 0.42116
2700 2270.91 0.420539
2705 2271.9 0.419945
2710 2273.02 0.419376
2715 2274.29 0.418838
2720 2275.73 0.418333
2725 2277.09 0.417815
2730 2278.57 0.417321
2735 2280.3 0.416874
2740 2282.17 0.416454
2745 2284.03 0.416035
2750 2286 0.415636
2755 2288.04 0.415252
2760 2289.94 0.414844
2765 2291.75 0.414421
2770 2293.41 0.413973
2775 2295 0.413514
2780 2296.66 0.413068
2785 2298.22 0.412607
2790 2300.08 0.412201
2795 2301.94 0.411796
2800 2303.94 0.411418
2805 2306.1 0.41107
2810 2308.31 0.410731
2815 2310.73 0.410432
2820 2313.47 0.41019
2825 2316.08 0.409926
2830 2318.74 0.409671
2835 2321.44 0.409425
2840 2324.23 0.409195
2845 2327.08 0.408977
2850 2329.97 0.408767
2855 2332.8 0.408546
2860 2335.84 0.408364
2865 2338.88 0.408182
2870 2341.9 0.407997
2875 2344.85 0.4078
2880 2347.91 0.407623
2885 2351.01 0.407454
2890 2354.07 0.407279
2895 2357.02 0.407085
2900 2359.95 0.406888
2905 2363.02 0.406716
2910 2366.25 0.406572
2915 2369.44 0.406422
2920 2372.88 0.406315
2925 2376.39 0.406221
2930 2379.92 0.40613
2935 2383.46 0.406041
2940 2387.09 0.405968
2945 2390.78 0.405905
2950 2394.4 0.405831
2955 2397.8 0.405719
2960 2400.94 0.405564
2965 2404.09 0.405411
2970 2407.04 0.405226
2975 2410.16 0.405069
2980 2413.38 0.40493
2985 2416.56 0.404784
2990 2419.81 0.404651
2995 2423.11 0.404526
3000 2426.59 0.404432
3005 2430.2 0.404359
3010 2434.14 0.404342
3015 2438.19 0.404343
3020 2442 0.404305
3025 2445.86 0.404274
3030 2449.66 0.404234
3035 2453.24 0.404158
3040 2456.73 0.404067
3045 2460.38 0.404003
3050 2464.06 0.403944
3055 2467.71 0.403881
3060 2471.29 0.403806
3065 2474.7 0.403703
3070 2478.1 0.403599
3075 2481.46 0.403489
3080 2484.94 0.403399
3085 2488.41 0.403308
3090 2492.12 0.403256
3095 2495.8 0.403199
3100 2499.49 0.403144
3105 2503.16 0.403085
3110 2506.7 0.403006
3115 2510.37 0.402949
3120 2514.21 0.402918
3125 2518.25 0.40292
3130 2522.38 0.402936
3135 2526.56 0.40296
3140 2530.79 0.402992
3145 2535.08 0.403033
3150 2539.32 0.403067
3155 2543.63 0.403111
3160 2547.9 0.403149
3165 2552.37 0.403218
3170 2556.79 0.403279
3175 2561.24 0.403345
3180 2565.76 0.403421
3185 2570.57 0.403543
3190 2575.32 0.403655
3195 2579.94 0.403746
3200 2584.67 0.403855
3205 2589.59 0.403992
3210 2594.63 0.404148
3215 2599.8 0.404323
3220 2604.8 0.404472
3225 2609.87 0.404631
3230 2615.05 0.404807
3235 2620.24 0.404983
3240 2625.52 0.405173
3245 2630.77 0.405357
3250 2636.07 0.405549
3255 2641.39 0.405743
3260 2646.74 0.405942
3265 2652.04 0.406132
3270 2657.44 0.406336
3275 2662.83 0.406539
3280 2668.23 0.406742
3285 2673.61 0.406942
3290 2679.09 0.407157
3295 2684.73 0.407395
3300 2690.52 0.407655
3305 2696.39 0.407926
3310 2702.15 0.40818
3315 2707.71 0.408403
3320 2713.37 0.40864
3325 2718.92 0.40886
3330 2724.31 0.409056
3335 2729.67 0.409246
3340 2735.13 0.409451
3345 2740.58 0.409653
3350 2746.01 0.409852
3355 2751.29 0.410028
3360 2756.68 0.41022
3365 2761.89 0.410385
3370 2767.18 0.410561
3375 2772.41 0.410727
3380 2777.44 0.410864
3385 2782.43 0.410994
3390 2787.44 0.411127
3395 2792.39 0.41125
3400 2797.23 0.411357
3405 2802.2 0.411483
3410 2807.28 0.411625
3415 2812.56 0.411795
3420 2817.72 0.411947
3425 2822.64 0.412064
3430 2827.45 0.412165
3435 2832.3 0.412271
3440 2837.12 0.412372
3445 2841.86 0.412462
3450 2846.46 0.41253
3455 2851.03 0.412595
3460 2855.67 0.412669
3465 2860.42 0.412759
3470 2865.16 0.412847
3475 2869.96 0.412944
3480 2874.71 0.413033
3485 2879.01 0.413057
3490 2883.03 0.413042
3495 2887.26 0.413056
3500 2891.45 0.413064
3505 2895.7 0.413081
3510 2899.85 0.413084
3515 2904.02 0.41309
3520 2908.07 0.413078
3525 2911.93 0.41304
3530 2915.71 0.41299
3535 2919.62 0.412959
3540 2923.68 0.412949
3545 2927.67 0.412929
3550 2931.45 0.41288
3555 2935.08 0.41281
3560 2938.93 0.412771
3565 2943 0.412763
3570 2947.1 0.412759
3575 2951.04 0.412733
3580 2955.07 0.412719
3585 2959.31 0.412735
3590 2963.56 0.412752
3595 2967.81 0.412769
3600 2971.85 0.412757
3605 2975.86 0.412741
3610 2979.74 0.412706
3615 2983.51 0.412657
3620 2987.24 0.412602
3625 2991.01 0.412553
3630 2994.96 0.412529
3635 2999.01 0.412519
3640 3003.09 0.412512
3645 3007.08 0.412494
3650 3011.26 0.412501
3655 3015.57 0.412527
3660 3019.67 0.412523
3665 3023.89 0.412536
3670 3028.18 0.412559
3675 3032.72 0.412615
3680 3037.56 0.412712
3685 3042.37 0.412805
3690 3047.05 0.412879
3695 3051.77 0.412959
3700 3056.52 0.413043
3705 3061.48 0.413155
3710 3066.57 0.413284
3715 3071.78 0.413429
3720 3076.9 0.413562
3725 3082 0.413691
3730 3087.05 0.413814
3735 3091.84 0.413901
3740 3096.83 0.414015
3745 3101.94 0.414144
3750 3107.04 0.414272
3755 3112.12 0.414397
3760 3117.17 0.414517
3765 3122.17 0.414631
3770 3127.11 0.414736
3775 3131.96 0.414829
3780 3136.89 0.414933
3785 3141.76 0.415028
3790 3146.77 0.415141
3795 3151.97 0.415279
3800 3157.14 0.415413
3805 3162.43 0.415562
3810 3167.81 0.415723
3815 3173.18 0.415882
3820 3178.34 0.416013
3825 3183.61 0.416158
3830 3188.9 0.416305
3835 3194.25 0.41646
3840 3199.45 0.416595
3845 3204.38 0.416694
3850 3209.34 0.416797
3855 3214.18 0.416885
3860 3219.08 0.416979
3865 3224 0.417076
3870 3228.82 0.41716
3875 3233.42 0.417215
3880 3238.15 0.417287
3885 3242.83 0.417353
3890 3247.6 0.417429
3895 3252.34 0.417502
3900 3257.18 0.417587
3905 3261.88 0.417654
3910 3266.71 0.417738
3915 3271.55 0.417822
3920 3276.44 0.417913
3925 3281.27 0.417996
3930 3285.85 0.418047
3935 3290.17 0.418065
3940 3294.43 0.418075
3945 3298.7 0.418086
3950 3302.7 0.418063
3955 3306.32 0.417992
3960 3309.89 0.417915
3965 3313.57 0.417852
3970 3317.19 0.417782
3975 3320.77 0.417707
3980 3324.34 0.417631
3985 3327.99 0.417565
3990 3331.3 0.417456
3995 3334.47 0.41733
4000 3337.58 0.417197
4005 3340.6 0.417054
4010 3343.65 0.416914
4015 3346.76 0.416782
4020 3349.56 0.416612
4025 3352.06 0.416405
4030 3354.46 0.416186
4035 3356.7 0.415948
4040 3359.02 0.41572
4045 3361.3 0.415488
4050 3363.82 0.415286
4055 3366.24 0.415073
4060 3368.62 0.414855
4065 3370.98 0.414635
4070 3373.31 0.414412
4075 3375.64 0.414189
4080 3377.82 0.413949
4085 3379.91 0.413698
4090 3382.05 0.413454
4095 3384.19 0.41321
4100 3386.32 0.412966
4105 3388.25 0.412698
4110 3390.01 0.41241
4115 3391.81 0.412128
4120 3393.73 0.41186
4125 3395.55 0.411582
4130 3397.19 0.411282
4135 3399 0.411004
4140 3400.68 0.41071
4145 3402.31 0.410411
4150 3403.84 0.410101
4155 3405.3 0.409783
4160 3406.82 0.409474
4165 3408.59 0.409194
4170 3410.06 0.40888
4175 3411.43 0.408554
4180 3412.68 0.408215
4185 3413.96 0.407881
4190 3415.27 0.40755
4195 3416.74 0.40724
4200 3418.13 0.40692
4205 3419.19 0.406562
4210 3420.21 0.406201
4215 3421.14 0.405829
4220 3421.75 0.405421
4225 3422 0.40497
4230 3422.4 0.404539
4235 3422.84 0.404113
4240 3423.3 0.403691
4245 3423.71 0.403264
4250 3424.05 0.402829
4255 3424.37 0.402394
4260 3424.78 0.401969
4265 3425.19 0.401546
4270 3425.3 0.401089
4275 3425 0.400585
4280 3424.46 0.400054
4285 3423.72 0.399501
4290 3422.73 0.39892
4295 3421.67 0.398332
4300 3420.97 0.397787
