2780 1456 1674 640 2355 1885 3360 1608 2954 4164 4781 
2658 1062 1025 1094 1682 3233 2815 3548 2209 4228 4235 
3678 326 1277 883 1038 910 915 2053 6301 4622 5163 
3078 1407 887 1908 1761 1957 3228 1392 1580 5623 4081 
4968 1230 1396 1982 438 1426 2744 1111 2496 5544 3564 
2795 423 1061 935 625 933 2018 2247 3111 3184 3048 
2161 2405 1945 1347 951 728 988 1705 1967 3509 3447 
4795 2884 1445 2270 958 954 2076 1487 1719 2192 1961 
2834 1548 3695 1097 1698 1479 1882 2665 1402 5278 3931 
4706 988 1452 1732 1157 866 1380 1043 4256 1932 9677 
1982 1924 1246 818 1575 503 4182 974 3796 5259 3822 
3295 834 1861 612 1891 1399 1497 1451 3476 4171 3946 
4501 1858 805 1424 1187 779 2371 2659 4816 3635 8046 
2590 2164 1237 1792 1608 3116 2657 1166 2428 2425 4339 
1764 2116 570 1205 1746 1340 2354 2577 1608 2457 5129 
3661 1578 1867 2552 2329 1567 929 1273 2887 2536 4621 
2588 2398 2342 1756 3154 745 2350 1927 2997 10612 4768 
2678 3292 671 896 1538 2342 2123 1727 2867 5183 3826 
2498 2649 4891 1037 1804 1113 1151 1859 5806 2800 6011 
3108 2008 2924 1217 1892 805 1224 1723 1840 2428 10313 
2522 2801 1491 3077 1565 1257 1606 2881 2246 2347 3596 
5105 964 635 688 1466 2586 1266 4381 3093 2271 6742 
1937 657 1121 776 2202 958 3115 2316 3826 3269 4313 
1672 1571 1619 477 2446 2723 866 3842 1178 3923 4522 
5093 1749 1698 2260 2090 2087 1344 1587 5707 4555 4076 
2499 2639 1430 977 3307 1910 1137 2388 2016 3657 1990 
5981 2816 1113 1491 1960 1244 1655 2069 3067 2152 3836 
828 1738 1771 1334 775 1609 1106 1387 2204 2479 4576 
5214 878 1649 1356 511 1938 1186 3077 2766 3013 4175 
2717 5375 3718 1641 1218 539 1257 1169 1013 2808 5462 
1487 1516 860 1158 615 2061 1965 1916 2310 3357 4427 
1892 526 2067 2130 958 1743 3367 1252 1801 1730 4286 
2067 2648 992 1369 2072 1123 1437 3329 2194 4121 4884 
3033 1509 1484 1619 3253 1732 1633 2004 3939 3353 5132 
5680 4022 1274 1858 1085 1325 998 2129 2996 3283 4847 
3178 1332 1546 835 3133 893 1797 2189 2098 3123 6478 
