LAMMPS (2 Aug 2023 - Update 1)
Reading data file ...
  orthogonal box = (0 0 0) to (34.9641 31.7217 30)
  3 by 2 by 1 MPI processor grid
  reading atoms ...
  157 atoms
  scanning bonds ...
  2 = max bonds/atom
  scanning angles ...
  1 = max angles/atom
  reading bonds ...
  2 bonds
  reading angles ...
  1 angles
Finding 1-2 1-3 1-4 neighbors ...
  special bond factors lj:    0        0        0       
  special bond factors coul:  0        0        0       
     2 = max # of 1-2 neighbors
     1 = max # of 1-3 neighbors
     1 = max # of 1-4 neighbors
     2 = max # of special neighbors
  special bonds CPU = 0.000 seconds
  read_data CPU = 0.006 seconds
3 atoms in group water
Setting atom values ...
  1 settings made for charge
Setting atom values ...
  2 settings made for charge
Generated 0 of 3 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 12
  ghost atom cutoff = 12
  binsize = 6, bins = 6 6 5
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/smooth/linear, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
WARNING: Dump mydump includes no atom IDs and is not sorted by ID. This may complicate post-processing tasks or visualization (../dump.cpp:221)
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 6.595 | 6.641 | 6.866 Mbytes
     Time         Step          Temp         c_Twater        PotEng         KinEng         TotEng       Ndanger      c_COM[1]       c_COM[2]       c_COM[3]   
 92                 92000   1.107432       70.233723     -0.064947521    0.022330903   -0.042616618            0   19.204066      13.056055      11.482509    
 93                 93000   0.91384538     44.773013     -0.054603961    0.018427311   -0.03617665             0   19.37039       12.999268      11.66981     
 94                 94000   1.1503059      38.224437     -0.061937168    0.023195439   -0.038741729            0   19.460414      12.977798      11.553192    
 95                 95000   1.2245144      70.005388     -0.060552723    0.024691821   -0.035860902            0   19.328338      13.147718      11.597045    
 96                 96000   0.32450412     23.16082      -0.048193767    0.0065434901  -0.041650277            0   19.317148      12.918292      11.858804    
 97                 97000   1.0562648      55.821171     -0.046253075    0.021299139   -0.024953937            0   18.99317       13.278016      11.901686    
 98                 98000   0.69134912     42.883973     -0.06401089     0.013940766   -0.050070124            0   18.414092      14.206855      11.48        
 99                 99000   0.64011666     29.592098     -0.065780501    0.012907685   -0.052872816            0   18.222042      14.313092      11.476809    
 100               100000   0.1635703      10.421376     -0.062247848    0.0032983269  -0.058949521            0   18.36264       14.318852      11.414804    
 101               101000   0.16218804     8.8955331     -0.064175302    0.0032704542  -0.060904847            0   18.324603      14.525887      11.600544    
 102               102000   0.31206135     22.453129     -0.046907062    0.0062925868  -0.040614475            0   18.296136      14.239573      11.358521    
 103               103000   0.71199879     33.158374     -0.052267788    0.014357158   -0.03791063             0   19.165486      16.131423      11.530661    
 104               104000   0.60984525     25.85254      -0.049588044    0.012297275   -0.037290769            0   18.56517       14.667157      11.770471    
 105               105000   0.90178561     25.748358     -0.065091519    0.01818413    -0.046907389            0   18.297202      14.417368      11.567513    
 106               106000   0.5547876      16.174663     -0.050576395    0.01118706    -0.039389335            0   19.5013        15.83045       11.523176    
 107               107000   0.43271429     18.126784     -0.049026435    0.008725503   -0.040300932            0   20.760596      16.337306      11.780728    
 108               108000   0.74607587     32.583185     -0.057966989    0.015044308   -0.04292268             0   20.940944      15.487506      11.537338    
 109               109000   0.79883904     41.848081     -0.05899825     0.016108256   -0.042889994            0   20.955542      15.778647      11.544382    
 110               110000   0.57002981     19.113805     -0.059734398    0.011494413   -0.048239985            0   20.675352      15.834958      11.486514    
 111               111000   0.39393487     22.49415      -0.059496708    0.0079435322  -0.051553176            0   20.936159      15.895546      11.618529    
 112               112000   0.4857726      21.241068     -0.060270357    0.0097954017  -0.050474956            0   20.782041      15.633991      11.552312    
 113               113000   1.8117413      101.53749     -0.068589904    0.036533008   -0.032056896            0   20.821517      15.919149      11.483598    
 114               114000   1.1728253      40.657335     -0.052867469    0.023649533   -0.029217937            0   20.917926      16.130882      11.611032    
 115               115000   0.98871159     60.370253     -0.03842274     0.019936956   -0.018485784            0   20.624405      15.610539      11.555148    
 116               116000   0.73574729     40.617252     -0.061182775    0.014836037   -0.046346738            0   20.946339      16.249542      11.615397    
 117               117000   0.53686322     14.9524       -0.063192687    0.010825623   -0.052367064            0   20.631556      15.812163      11.660612    
 118               118000   1.4150225      100.92065     -0.033736438    0.028533337   -0.0052031012           0   21.042906      16.575203      11.994311    
 119               119000   1.2193909      89.661783     -0.040058106    0.024588509   -0.015469597            0   20.984922      15.587047      11.834634    
 120               120000   1.2562942      53.654612     -0.039443415    0.025332647   -0.014110767            0   21.670594      16.742965      11.786427    
 121               121000   1.1125351      42.325717     -0.058817756    0.022433806   -0.036383951            0   21.469648      17.252899      11.433751    
 122               122000   0.38914686     18.471794     -0.057798565    0.0078469839  -0.049951581            0   21.850247      17.248153      11.461026    
 123               123000   0.88935404     57.382209     -0.050627385    0.017933453   -0.032693932            0   21.324311      17.149695      11.709968    
 124               124000   0.97164226     65.472549     -0.047410892    0.019592761   -0.027818132            0   21.444163      16.97988       11.838564    
 125               125000   0.74959139     9.0762976     -0.055720876    0.015115197   -0.040605678            0   21.467571      17.594474      11.508519    
 126               126000   0.95665059     54.021387     -0.052160359    0.01929046    -0.032869899            0   22.011274      17.254603      11.65824     
 127               127000   1.2345315      67.553156     -0.037722482    0.024893812   -0.01282867             0   21.002163      18.223861      11.962212    
 128               128000   0.76352306     37.606425     -0.04836934     0.015396124   -0.032973216            0   20.106645      19.015346      11.868865    
 129               129000   0.52799333     27.267972     -0.046691477    0.010646765   -0.036044711            0   21.071359      19.772728      11.88155     
 130               130000   1.0773051      77.335436     -0.064423588    0.021723408   -0.04270018             0   21.58889       19.955365      11.493593    
 131               131000   0.4849806      23.562673     -0.050369976    0.0097794314  -0.040590544            0   21.546518      19.800194      11.497677    
 132               132000   1.8724311      62.407735     -0.051263602    0.037756791   -0.013506811            0   21.194313      19.297776      11.687252    
 133               133000   1.8249588      61.542124     -0.058612102    0.036799532   -0.02181257             0   21.554761      20.122956      11.630657    
 134               134000   0.82860027     53.020801     -0.044092448    0.016708379   -0.02738407             0   22.755461      20.398492      11.896722    
 135               135000   0.80377145     52.050339     -0.05708255     0.016207716   -0.040874835            0   23.272124      19.886446      11.698626    
 136               136000   0.31022353     7.7671876     -0.059746435    0.006255528   -0.053490907            0   23.406368      20.520366      11.626885    
 137               137000   1.1308627      58.756493     -0.056509682    0.022803374   -0.033706308            0   23.620361      20.077611      11.510367    
 138               138000   1.4479727      76.547884     -0.056808741    0.029197765   -0.027610976            0   21.657735      20.125015      11.410021    
 139               139000   0.43084924     8.1884842     -0.062658602    0.0086878952  -0.053970707            0   21.662235      20.005147      11.509362    
 140               140000   0.59020667     33.074438     -0.052274669    0.011901271   -0.040373398            0   21.766489      20.37022       11.534561    
