# Simulazione modello di Ising 1D
# Mossa 	 Energia 	 Magnetizzazione 	 Dimensione cluster
372     -1.66700005531311      0.8787000179290771     8748.5
374     -1.680999994277954      0.8883000016212463     8909.5
376     -1.647599935531616      0.8694000244140625     8727.5
379     -1.662000060081482      0.8723333477973938     5818.66650390625
382     -1.673200011253357      0.8749333024024963     5828.33349609375
385     -1.682400107383728      0.8850666880607605     5909.0
388     -1.661466717720032      0.8684666752815247     5809.0
390     -1.675999999046326      0.8756999969482422     8796.5
393     -1.67520010471344      0.8773999810218811     5820.33349609375
396     -1.660799980163574      0.8719332814216614     5824.66650390625
398     -1.66759991645813      0.8693000078201294     8736.5
400     -1.653599977493286      0.8709999918937683     8683.5
402     -1.640599966049194      0.8431000113487244     8536.0
404     -1.665600061416626      0.8702999949455261     8556.0
406     -1.691200017929077      0.8878999948501587     8876.5
409     -1.662399888038635      0.8766000270843506     5862.66650390625
411     -1.674999952316284      0.8702000379562378     8745.5
413     -1.642199993133545      0.8580000400543213     8553.5
415     -1.635200023651123      0.8545000553131104     8544.5
417     -1.656800031661987      0.873199999332428     8726.0
419     -1.673799991607666      0.8682999610900879     8704.0
421     -1.648400068283081      0.8514000177383423     8574.5
423     -1.671000003814697      0.8717999458312988     8592.0
425     -1.676199913024902      0.87090003490448     8796.5
427     -1.683199882507324      0.8848000168800354     8750.0
429     -1.661999940872192      0.8666999936103821     8725.5
431     -1.670799970626831      0.8694999814033508     8698.0
433     -1.651600003242493      0.8550000190734863     8651.5
435     -1.693399906158447      0.8894000053405762     8733.0
437     -1.659600019454956      0.8676999807357788     8745.0
439     -1.672399997711182      0.8824999928474426     8781.5
441     -1.654799938201904      0.8574000000953674     8654.0
443     -1.675400018692017      0.8665000200271606     8599.0
445     -1.683799982070923      0.8769999742507935     8755.5
447     -1.66100001335144      0.8586999773979187     8651.5
449     -1.631200075149536      0.8508999943733215     8494.5
451     -1.656599998474121      0.8526999950408936     8549.5
453     -1.668800115585327      0.8668000102043152     8626.0
456     -1.686800003051758      0.8805332779884338     5890.66650390625
458     -1.667999982833862      0.8783000111579895     8791.0
460     -1.648200035095215      0.8587000370025635     8628.0
462     -1.679000020027161      0.8754000067710876     8735.5
464     -1.677000045776367      0.868399977684021     8691.0
466     -1.68939995765686      0.8806999921798706     8761.0
468     -1.677999973297119      0.8817999958992004     8785.0
470     -1.692399978637695      0.8971999883651733     8958.5
472     -1.633800029754639      0.8517000079154968     8656.0
474     -1.629600048065186      0.8303999900817871     8286.0
476     -1.651000022888184      0.8487999439239502     8499.0
478     -1.647799968719482      0.8589999675750732     8526.5
480     -1.656800031661987      0.8677999973297119     8700.0
482     -1.64739990234375      0.8610000014305115     8656.5
484     -1.646399974822998      0.8661999702453613     8544.5
486     -1.683799982070923      0.8869999647140503     8884.5
489     -1.65773332118988      0.8610000014305115     5780.66650390625
491     -1.671200037002563      0.878600001335144     8773.5
493     -1.658599972724915      0.8704999685287476     8713.5
496     -1.648933410644531      0.8592000007629395     5744.33349609375
498     -1.656399965286255      0.8687000274658203     8669.5
500     -1.677999973297119      0.8852999806404114     8815.5
502     -1.643399953842163      0.8560999631881714     8662.0
504     -1.638000011444092      0.8596000075340271     8560.0
506     -1.658200025558472      0.8654999732971191     8651.0
508     -1.666199922561646      0.8774000406265259     8733.0
510     -1.679399967193604      0.8767000436782837     8752.0
512     -1.67140007019043      0.873199999332428     8768.5
515     -1.674266695976257      0.8756000399589539     5831.33349609375
517     -1.667799949645996      0.8688000440597534     8743.5
519     -1.647199988365173      0.8651000261306763     8626.0
522     -1.668666481971741      0.872333288192749     5823.66650390625
525     -1.676533341407776      0.8739333152770996     5815.66650390625
527     -1.690599918365479      0.8869999647140503     8880.5
529     -1.635200023651123      0.8564000129699707     8636.0
531     -1.653800010681152      0.8566000461578369     8569.5
533     -1.696599960327148      0.8849999904632568     8771.5
537     -1.67929995059967      0.8763500452041626     4383.25
539     -1.665799975395203      0.8625999689102173     8670.0
541     -1.677999973297119      0.878600001335144     8711.0
544     -1.684133410453796      0.8784000277519226     5870.33349609375
546     -1.662600040435791      0.8618000149726868     8632.5
548     -1.651000022888184      0.8607000112533569     8635.5
550     -1.657999992370605      0.8659000396728516     8648.0
553     -1.689066767692566      0.890999972820282     5895.66650390625
555     -1.63699996471405      0.8509999513626099     8682.0
557     -1.630399942398071      0.8575999736785889     8514.0
