# Simulazione modello di Ising 1D
# Mossa 	 Energia 	 Magnetizzazione 	 Calore specifico 	 Suscettività 	 Dimensione cluster
84     -1.92799174785614      0.979556143283844     0.2749999761581421     0.04600000008940697     38557.234375
85     -1.928198218345642      0.9796191453933716     0.2499999701976776     0.06199999898672104     38493.19140625
86     -1.928290605545044      0.9796265363693237     0.2899999618530273     0.06199999898672104     38454.03125
87     -1.927832245826721      0.9795105457305908     0.2149999737739563     0.05799999833106995     38790.36328125
88     -1.928315997123718      0.9796266555786133     0.3149999678134918     0.06199999898672104     38636.09375
89     -1.928282976150513      0.9796259999275208     0.2449999749660492     0.05799999833106995     38676.17578125
90     -1.928011536598206      0.9795559644699097     0.3549999892711639     0.03200000151991844     38817.90234375
91     -1.928200364112854      0.9796184301376343     0.3599999845027924     0.09399999678134918     38609.14453125
92     -1.928307414054871      0.9796504974365234     0.3499999642372131     0.03599999845027924     38531.875
93     -1.927910685539246      0.9795510768890381     0.3699999749660492     0.03799999877810478     38685.375
94     -1.928206205368042      0.979633092880249     0.324999988079071     0.04399999976158142     38764.6328125
95     -1.928012847900391      0.9795570373535156     0.2999999821186066     0.07800000160932541     38675.57421875
96     -1.928178071975708      0.9796289801597595     0.2449999749660492     0.03799999877810478     38467.3203125
97     -1.928110718727112      0.9795882701873779     0.2649999856948853     0.05999999865889549     38776.81640625
98     -1.928120255470276      0.9795541167259216     0.2249999791383743     0.01999999955296516     38765.82421875
99     -1.928064465522766      0.9795554876327515     0.2749999761581421     0.02400000020861626     38699.52734375
100     -1.928528666496277      0.979702353477478     0.2599999904632568     0.07400000095367432     38675.44921875
101     -1.928057432174683      0.9795452952384949     0.3349999785423279     0.05200000107288361     38740.7109375
102     -1.928707838058472      0.9797528386116028     0.2299999743700027     0.0560000017285347     38652.09765625
103     -1.92817759513855      0.9796051979064941     0.1849999874830246     0.04199999943375587     38897.6015625
104     -1.928258061408997      0.9796522259712219     0.2149999737739563     0.04399999976158142     38480.37890625
105     -1.928040385246277      0.9795590043067932     0.2799999713897705     0.05400000140070915     38766.9453125
106     -1.928618311882019      0.9797075986862183     0.2599999904632568     0.0820000022649765     38717.796875
107     -1.928254723548889      0.9796273708343506     0.2949999868869781     0.03799999877810478     38570.703125
108     -1.928202509880066      0.9795888662338257     0.3199999630451202     0.01600000075995922     38660.80078125
109     -1.928010940551758      0.9795541167259216     0.1699999868869781     0.0560000017285347     38830.0
110     -1.928167819976807      0.9796225428581238     0.2949999868869781     0.01600000075995922     38597.78125
111     -1.928139090538025      0.9795894622802734     0.1949999928474426     0.0260000005364418     38858.71875
112     -1.928558588027954      0.9797273278236389     0.324999988079071     0.03999999910593033     38559.796875
