# Simulazione modello di Ising 1D
# Mossa 	 Energia 	 Magnetizzazione 	 Dimensione cluster
146     -1.65814995765686      0.8627749681472778     34628.0
148     -1.652600049972534      0.8634499907493591     34434.5
150     -1.644299983978271      0.8634499907493591     34592.0
152     -1.643500089645386      0.8562999963760376     34305.5
155     -1.637133240699768      0.8534333109855652     22776.666015625
157     -1.652450084686279      0.8663749694824219     34615.0
159     -1.671450018882751      0.8745999932289124     34922.0
162     -1.66266667842865      0.8688666820526123     23204.666015625
164     -1.671300053596497      0.8738250136375427     34740.0
167     -1.672799944877625      0.8774999976158142     23432.333984375
169     -1.656700015068054      0.8642500042915344     34701.0
171     -1.654399991035461      0.864050030708313     34465.0
173     -1.65654993057251      0.8631500005722046     34588.0
175     -1.672049999237061      0.8749250173568726     34907.0
177     -1.668750047683716      0.8790000081062317     35098.0
179     -1.670850038528442      0.8748250007629395     35020.5
181     -1.674950003623962      0.8797500133514404     35171.0
183     -1.672049999237061      0.8647249937057495     34658.5
185     -1.675400018692017      0.8745750188827515     34953.5
187     -1.674600005149841      0.8737999796867371     35020.5
190     -1.652599930763245      0.8659999966621399     23104.666015625
192     -1.671499967575073      0.8723750114440918     34872.5
195     -1.667233467102051      0.8697500228881836     23214.0
197     -1.661499977111816      0.8712249994277954     34804.5
199     -1.665600061416626      0.8711249828338623     34806.5
202     -1.662733435630798      0.8652666211128235     23154.666015625
204     -1.663749933242798      0.8673499822616577     34767.5
207     -1.662333369255066      0.8737999796867371     23226.0
209     -1.648649930953979      0.8619250059127808     34558.5
211     -1.652849912643433      0.8654249906539917     34589.5
213     -1.660650014877319      0.864799976348877     34618.0
215     -1.67044997215271      0.8723250031471252     34833.5
217     -1.668050050735474      0.8744499683380127     35007.0
219     -1.658099889755249      0.8655999898910522     34597.0
221     -1.654200077056885      0.8627250194549561     34561.0
223     -1.665800094604492      0.8714250326156616     34768.5
225     -1.670549988746643      0.8714250326156616     34980.5
227     -1.658499956130981      0.8663250207901001     34581.5
230     -1.670466780662537      0.8747666478157043     23357.0
233     -1.666499972343445      0.8744666576385498     23328.666015625
235     -1.662600040435791      0.8713499903678894     34871.0
237     -1.666849970817566      0.873199999332428     34864.0
239     -1.674099922180176      0.8782750368118286     35078.5
242     -1.677466750144958      0.8774499893188477     23426.333984375
244     -1.661200046539307      0.8698499798774719     34907.0
246     -1.673749923706055      0.8770250082015991     35009.0
248     -1.664250016212463      0.8741250038146973     34996.0
250     -1.655650019645691      0.8675999641418457     34799.0
253     -1.652533411979675      0.8608667254447937     22965.333984375
