# Simulazione modello di Ising 1D
# Mossa 	 Energia 	 Magnetizzazione 	 Calore specifico 	 Suscettività
76 -1.00175678730011 0.8830650448799133 0.1746666729450226 4.71867
77 -1.006202936172485 0.9286830425262451 0.2493333369493484 9.40633
78 -1.002577066421509 0.8994565606117249 0.2080000042915344 4.09
79 -1.001985549926758 0.8976590037345886 0.300000011920929 4.87733
80 -1.00371241569519 0.9225554466247559 0.1213333308696747 2.00667
81 -1.002483606338501 0.900773286819458 0.1920000016689301 6.16933
82 -1.004439234733582 0.9159119725227356 0.1840000003576279 4.83833
83 -1.001955986022949 0.8930107951164246 0.2826666533946991 5.70567
84 -1.001652598381042 0.887411892414093 0.5 16.652
85 -1.002805471420288 0.9073586463928223 0.2333333343267441 3.62033
86 -1.004095315933228 0.9075736403465271 0.2759999930858612 6.092
87 -1.001598358154297 0.8970330953598022 0.2386666685342789 7.70533
88 -1.004675388336182 0.9292045831680298 0.1666666716337204 3.87867
89 -1.002572298049927 0.9006015658378601 0.2626666724681854 10.823
90 -1.001148581504822 0.8918441534042358 0.3106666803359985 6.83267
91 -1.005418181419373 0.9097924828529358 0.2280000001192093 6.10867
92 -1.003933548927307 0.9099006056785583 0.164000004529953 4.13467
93 -1.004444479942322 0.9225794076919556 0.1920000016689301 4.23633
94 -1.003784775733948 0.9132612943649292 0.3613333404064178 8.708
95 -1.004347443580627 0.916331946849823 0.2520000040531158 6.78433
96 -1.001567006111145 0.8771082162857056 0.4093333184719086 5.318
97 -1.005537629127502 0.9297019839286804 0.1720000058412552 2.72667
98 -1.005293011665344 0.9315747022628784 0.1493333280086517 2.94867
99 -1.005598783493042 0.9316993951797485 0.3066666722297668 6.13467
100 -1.005409717559814 0.918649435043335 0.1466666609048843 5.297
101 -1.002913236618042 0.9139252901077271 0.2906666696071625 4.11167
102 -1.004379749298096 0.9148668646812439 0.2493333369493484 8.416
103 -1.004928469657898 0.9276502132415771 0.1973333358764648 3.482
104 -1.007365226745605 0.9411941170692444 0.1786666661500931 2.95533
105 -1.003115773200989 0.905606746673584 0.2946666777133942 5.634
106 -1.006943225860596 0.9387525320053101 0.1959999948740005 3.55167
107 -1.004292607307434 0.9235841631889343 0.2199999988079071 2.44967
108 -1.001623511314392 0.8971954584121704 0.2706666588783264 10.451
109 -1.004154682159424 0.9166368246078491 0.2080000042915344 3.23533
